team,line,p_over,p_under,p_push,total
BUF,4.0,0.99995,5e-05,0.0,1.0
BUF,4.5,0.99995,5e-05,0.0,1.0
BUF,5.0,0.99975,5e-05,0.0002,1.0
BUF,5.5,0.99975,0.00025,0.0,1.0
BUF,6.0,0.99785,0.00025,0.0019,1.0
BUF,6.5,0.99785,0.00215,0.0,1.0
BUF,7.0,0.98955,0.00215,0.0083,1.0
BUF,7.5,0.98955,0.01045,0.0,1.0
BUF,8.0,0.96255,0.01045,0.027,1.0
BUF,8.5,0.96255,0.03745,0.0,1.0
BUF,9.0,0.8994,0.03745,0.06315,1.0
BUF,9.5,0.8994,0.1006,0.0,1.0
BUF,10.0,0.7746,0.1006,0.1248,1.0
BUF,10.5,0.7746,0.2254,0.0,1.0
BUF,11.0,0.58885,0.2254,0.18575,0.9999999999999999
BUF,11.5,0.58885,0.41115,0.0,1.0
BUF,12.0,0.3727,0.41115,0.21615,1.0
BUF,12.5,0.3727,0.6273,0.0,1.0
BUF,13.0,0.18335,0.6273,0.18935,1.0
BUF,13.5,0.18335,0.81665,0.0,1.0
BUF,14.0,0.06485,0.81665,0.1185,1.0
BUF,14.5,0.06485,0.93515,0.0,1.0
BUF,15.0,0.014,0.93515,0.05085,1.0
BUF,15.5,0.014,0.986,0.0,1.0
BUF,16.0,0.0014,0.986,0.0126,1.0
BUF,16.5,0.0014,0.9986,0.0,1.0
CAR,0.5,0.9974,0.0026,0.0,1.0
CAR,1.0,0.97935,0.0026,0.01805,1.0
CAR,1.5,0.97935,0.02065,0.0,1.0
CAR,2.0,0.91355,0.02065,0.0658,0.9999999999999999
CAR,2.5,0.91355,0.08645,0.0,1.0
CAR,3.0,0.77425,0.08645,0.1393,1.0
CAR,3.5,0.77425,0.22575,0.0,1.0
CAR,4.0,0.569,0.22575,0.20525,1.0
CAR,4.5,0.569,0.431,0.0,1.0
CAR,5.0,0.35275,0.431,0.21625,1.0
CAR,5.5,0.35275,0.64725,0.0,1.0
CAR,6.0,0.18095,0.64725,0.1718,1.0
CAR,6.5,0.18095,0.81905,0.0,1.0
CAR,7.0,0.0803,0.81905,0.10065,1.0
CAR,7.5,0.0803,0.9197,0.0,1.0
CAR,8.0,0.0273,0.9197,0.053,1.0
CAR,8.5,0.0273,0.9727,0.0,1.0
CAR,9.0,0.00715,0.9727,0.02015,1.0
CAR,9.5,0.00715,0.99285,0.0,1.0
CAR,10.0,0.00175,0.99285,0.0054,1.0
CAR,10.5,0.00175,0.99825,0.0,1.0
CAR,11.0,0.0002,0.99825,0.00155,1.0
CAR,11.5,0.0002,0.9998,0.0,1.0
CAR,12.0,0.0,0.9998,0.0002,1.0
CAR,12.5,0.0,1.0,0.0,1.0
CAR,13.0,0.0,1.0,0.0,1.0
CAR,13.5,0.0,1.0,0.0,1.0
CAR,14.0,0.0,1.0,0.0,1.0
CAR,14.5,0.0,1.0,0.0,1.0
CAR,15.0,0.0,1.0,0.0,1.0
CAR,15.5,0.0,1.0,0.0,1.0
CAR,16.0,0.0,1.0,0.0,1.0
CAR,16.5,0.0,1.0,0.0,1.0
CHI,0.5,0.9999,0.0001,0.0,1.0
CHI,1.0,0.99925,0.0001,0.00065,1.0
CHI,1.5,0.99925,0.00075,0.0,1.0
CHI,2.0,0.9956,0.00075,0.00365,1.0
CHI,2.5,0.9956,0.0044,0.0,1.0
CHI,3.0,0.9781,0.0044,0.0175,0.9999999999999999
CHI,3.5,0.9781,0.0219,0.0,1.0
CHI,4.0,0.9272,0.0219,0.0509,1.0
CHI,4.5,0.9272,0.0728,0.0,1.0
CHI,5.0,0.81765,0.0728,0.10955,1.0
CHI,5.5,0.81765,0.18235,0.0,1.0
CHI,6.0,0.64885,0.18235,0.1688,1.0
CHI,6.5,0.64885,0.35115,0.0,1.0
CHI,7.0,0.4434,0.35115,0.20545,1.0
CHI,7.5,0.4434,0.5566,0.0,1.0
CHI,8.0,0.25255,0.5566,0.19085,1.0
CHI,8.5,0.25255,0.74745,0.0,1.0
CHI,9.0,0.1207,0.74745,0.13185,1.0
CHI,9.5,0.1207,0.8793,0.0,1.0
CHI,10.0,0.0454,0.8793,0.0753,1.0
CHI,10.5,0.0454,0.9546,0.0,1.0
CHI,11.0,0.0134,0.9546,0.032,1.0
CHI,11.5,0.0134,0.9866,0.0,1.0
CHI,12.0,0.00325,0.9866,0.01015,1.0
CHI,12.5,0.00325,0.99675,0.0,1.0
CHI,13.0,0.0007,0.99675,0.00255,1.0
CHI,13.5,0.0007,0.9993,0.0,1.0
CHI,14.0,0.0001,0.9993,0.0006,1.0
CHI,14.5,0.0001,0.9999,0.0,1.0
CHI,15.0,0.0,0.9999,0.0001,1.0
CHI,15.5,0.0,1.0,0.0,1.0
CHI,16.0,0.0,1.0,0.0,1.0
CHI,16.5,0.0,1.0,0.0,1.0
CIN,0.5,1.0,0.0,0.0,1.0
CIN,1.0,1.0,0.0,0.0,1.0
CIN,1.5,1.0,0.0,0.0,1.0
CIN,2.0,0.9999,0.0,0.0001,1.0
CIN,2.5,0.9999,0.0001,0.0,1.0
CIN,3.0,0.9997,0.0001,0.0002,1.0
CIN,3.5,0.9997,0.0003,0.0,1.0
CIN,4.0,0.99735,0.0003,0.00235,0.9999999999999999
CIN,4.5,0.99735,0.00265,0.0,1.0
CIN,5.0,0.98845,0.00265,0.0089,1.0
CIN,5.5,0.98845,0.01155,0.0,1.0
CIN,6.0,0.9598,0.01155,0.02865,0.9999999999999999
CIN,6.5,0.9598,0.0402,0.0,1.0
CIN,7.0,0.8894,0.0402,0.0704,1.0
CIN,7.5,0.8894,0.1106,0.0,1.0
CIN,8.0,0.7582,0.1106,0.1312,1.0
CIN,8.5,0.7582,0.2418,0.0,1.0
CIN,9.0,0.57545,0.2418,0.18275,1.0
CIN,9.5,0.57545,0.42455,0.0,1.0
CIN,10.0,0.3686,0.42455,0.20685,1.0
CIN,10.5,0.3686,0.6314,0.0,1.0
CIN,11.0,0.1929,0.6314,0.1757,0.9999999999999999
CIN,11.5,0.1929,0.8071,0.0,1.0
CIN,12.0,0.07795,0.8071,0.11495,1.0
CIN,12.5,0.07795,0.92205,0.0,1.0
CIN,13.0,0.02375,0.92205,0.0542,1.0
CIN,13.5,0.02375,0.97625,0.0,1.0
CIN,14.0,0.0044,0.97625,0.01935,0.9999999999999999
CIN,14.5,0.0044,0.9956,0.0,1.0
CIN,15.0,0.0003,0.9956,0.0041,1.0
CIN,15.5,0.0003,0.9997,0.0,1.0
CIN,16.0,5e-05,0.9997,0.00025,1.0
CIN,16.5,5e-05,0.99995,0.0,1.0
CLE,0.5,0.9964,0.0036,0.0,1.0
CLE,1.0,0.9717,0.0036,0.0247,1.0
CLE,1.5,0.9717,0.0283,0.0,1.0
CLE,2.0,0.8936,0.0283,0.0781,1.0
CLE,2.5,0.8936,0.1064,0.0,1.0
CLE,3.0,0.72885,0.1064,0.16475,1.0
CLE,3.5,0.72885,0.27115,0.0,1.0
CLE,4.0,0.5101,0.27115,0.21875,1.0
CLE,4.5,0.5101,0.4899,0.0,1.0
CLE,5.0,0.2989,0.4899,0.2112,1.0
CLE,5.5,0.2989,0.7011,0.0,1.0
CLE,6.0,0.144,0.7011,0.1549,1.0
CLE,6.5,0.144,0.856,0.0,1.0
CLE,7.0,0.05695,0.856,0.08705,0.9999999999999999
CLE,7.5,0.05695,0.94305,0.0,1.0
CLE,8.0,0.01745,0.94305,0.0395,1.0
CLE,8.5,0.01745,0.98255,0.0,1.0
CLE,9.0,0.00395,0.98255,0.0135,1.0
CLE,9.5,0.00395,0.99605,0.0,1.0
CLE,10.0,0.00095,0.99605,0.003,1.0
CLE,10.5,0.00095,0.99905,0.0,1.0
CLE,11.0,0.0001,0.99905,0.00085,1.0
CLE,11.5,0.0001,0.9999,0.0,1.0
CLE,12.0,0.0,0.9999,0.0001,1.0
CLE,12.5,0.0,1.0,0.0,1.0
CLE,13.0,0.0,1.0,0.0,1.0
CLE,13.5,0.0,1.0,0.0,1.0
CLE,14.0,0.0,1.0,0.0,1.0
CLE,14.5,0.0,1.0,0.0,1.0
CLE,15.0,0.0,1.0,0.0,1.0
CLE,15.5,0.0,1.0,0.0,1.0
CLE,16.0,0.0,1.0,0.0,1.0
CLE,16.5,0.0,1.0,0.0,1.0
DAL,0.5,0.99975,0.00025,0.0,1.0
DAL,1.0,0.99705,0.00025,0.0027,1.0
DAL,1.5,0.99705,0.00295,0.0,1.0
DAL,2.0,0.982,0.00295,0.01505,1.0
DAL,2.5,0.982,0.018,0.0,1.0
DAL,3.0,0.9352,0.018,0.0468,1.0
DAL,3.5,0.9352,0.0648,0.0,1.0
DAL,4.0,0.83715,0.0648,0.09805,0.9999999999999999
DAL,4.5,0.83715,0.16285,0.0,1.0
DAL,5.0,0.66565,0.16285,0.1715,1.0
DAL,5.5,0.66565,0.33435,0.0,1.0
DAL,6.0,0.4595,0.33435,0.20615,1.0
DAL,6.5,0.4595,0.5405,0.0,1.0
DAL,7.0,0.2689,0.5405,0.1906,0.9999999999999999
DAL,7.5,0.2689,0.7311,0.0,1.0
DAL,8.0,0.1288,0.7311,0.1401,1.0
DAL,8.5,0.1288,0.8712,0.0,1.0
DAL,9.0,0.0523,0.8712,0.0765,1.0
DAL,9.5,0.0523,0.9477,0.0,1.0
DAL,10.0,0.0186,0.9477,0.0337,0.9999999999999999
DAL,10.5,0.0186,0.9814,0.0,1.0
DAL,11.0,0.0049,0.9814,0.0137,1.0
DAL,11.5,0.0049,0.9951,0.0,1.0
DAL,12.0,0.00095,0.9951,0.00395,1.0
DAL,12.5,0.00095,0.99905,0.0,1.0
DAL,13.0,0.0002,0.99905,0.00075,1.0
DAL,13.5,0.0002,0.9998,0.0,1.0
DAL,14.0,0.0,0.9998,0.0002,1.0
DAL,14.5,0.0,1.0,0.0,1.0
DAL,15.0,0.0,1.0,0.0,1.0
DAL,15.5,0.0,1.0,0.0,1.0
DAL,16.0,0.0,1.0,0.0,1.0
DAL,16.5,0.0,1.0,0.0,1.0
DEN,0.5,1.0,0.0,0.0,1.0
DEN,1.0,1.0,0.0,0.0,1.0
DEN,1.5,1.0,0.0,0.0,1.0
DEN,2.0,1.0,0.0,0.0,1.0
DEN,2.5,1.0,0.0,0.0,1.0
DEN,3.0,0.9999,0.0,0.0001,1.0
DEN,3.5,0.9999,0.0001,0.0,1.0
DEN,4.0,0.9997,0.0001,0.0002,1.0
DEN,4.5,0.9997,0.0003,0.0,1.0
DEN,5.0,0.99785,0.0003,0.00185,1.0
DEN,5.5,0.99785,0.00215,0.0,1.0
DEN,6.0,0.99,0.00215,0.00785,1.0
DEN,6.5,0.99,0.01,0.0,1.0
DEN,7.0,0.9645,0.01,0.0255,1.0
DEN,7.5,0.9645,0.0355,0.0,1.0
DEN,8.0,0.90585,0.0355,0.05865,1.0
DEN,8.5,0.90585,0.09415,0.0,1.0
DEN,9.0,0.78525,0.09415,0.1206,1.0
DEN,9.5,0.78525,0.21475,0.0,1.0
DEN,10.0,0.59915,0.21475,0.1861,1.0
DEN,10.5,0.59915,0.40085,0.0,1.0
DEN,11.0,0.39365,0.40085,0.2055,1.0
DEN,11.5,0.39365,0.60635,0.0,1.0
DEN,12.0,0.2077,0.60635,0.18595,1.0
DEN,12.5,0.2077,0.7923,0.0,1.0
DEN,13.0,0.08295,0.7923,0.12475,1.0
DEN,13.5,0.08295,0.91705,0.0,1.0
DEN,14.0,0.0234,0.91705,0.05955,1.0
DEN,14.5,0.0234,0.9766,0.0,1.0
