game_id,week,away_team,home_team,home_spread,home_win_prob,away_win_prob
1,1,BUF,HOU,-4.502941176470588,0.36889131260635966,0.6311086873936403
2,1,NE,TEN,-2.4029411764705895,0.429103385311994,0.570896614688006
3,1,BAL,KC,-2.2470588235294118,0.43365844116352564,0.5663415588364744
4,1,CIN,LAC,3.8088235294117645,0.6114820674312125,0.3885179325687875
5,1,CLE,LV,1.988235294117648,0.5587592390942305,0.44124076090576947
6,1,PIT,DEN,4.697058823529412,0.6365393141796288,0.36346068582037117
7,1,IND,NYJ,0.48823529411764754,0.5144784337475705,0.4855215662524295
8,1,JAX,MIA,5.470588235294118,0.657898752191387,0.34210124780861295
9,1,NYG,ATL,4.529411764705883,0.6318507987011326,0.3681492012988674
10,1,PHI,NO,-9.911764705882353,0.23058118888327067,0.7694188111167293
11,1,CHI,ARI,4.797058823529412,0.6393263170916516,0.36067368290834845
12,1,DET,SF,-8.88529411764706,0.25442909010075665,0.7455709098992434
13,1,GB,LA,-6.091176470588236,0.3253191702222047,0.6746808297777953
14,1,MIN,SEA,-1.355882352941176,0.45985100268579343,0.5401489973142066
15,1,CAR,WAS,13.373529411764707,0.8399650995993412,0.16003490040065882
16,1,TB,DAL,-7.685294117647059,0.28386516855242994,0.7161348314475701
17,2,MIA,HOU,2.526470588235294,0.574499619086928,0.42550038091307196
18,2,NYJ,TEN,-4.273529411764708,0.37534315862606804,0.624656841373932
19,2,IND,NE,-1.3823529411764706,0.45906991235959405,0.540930087640406
20,2,JAX,BUF,12.5,0.8236508048718143,0.1763491951281857
21,2,DEN,CIN,-1.2058823529411766,0.4642800205923624,0.5357199794076376
22,2,KC,CLE,-9.223529411764707,0.24643088591051304,0.7535691140894869
23,2,LAC,PIT,-1.2999999999999998,0.4615004764662588,0.5384995235337412
24,2,LV,BAL,15.48235294117647,0.8751553370204194,0.12484466297958063
25,2,NYG,CAR,0.15000000000000036,0.5044490781864933,0.4955509218135067
26,2,PHI,TB,-0.44411764705882373,0.4868293594294969,0.5131706405705031
27,2,ATL,WAS,8.994117647058824,0.7481590008700676,0.2518409991299324
28,2,NO,DAL,1.7823529411764705,0.5527122903851716,0.44728770961482844
29,2,ARI,MIN,4.120588235294118,0.6203360283099373,0.3796639716900627
30,2,LA,DET,13.014705882352942,0.8333869355326982,0.16661306446730184
31,2,SEA,CHI,-1.5617647058823527,0.45378017145994615,0.5462198285400539
32,2,SF,GB,7.961764705882354,0.7230588909048612,0.2769411090951388
33,3,BUF,IND,-7.014705882352942,0.30099550839004374,0.6990044916099563
34,3,NE,JAX,1.8970588235294112,0.5560829085488275,0.44391709145117253
35,3,HOU,NYJ,-2.0235294117647054,0.44020547504437335,0.5597945249556266
36,3,TEN,MIA,9.770588235294118,0.766214783299326,0.23378521670067398
37,3,DEN,BAL,3.5441176470588234,0.603918610024002,0.39608138997599796
38,3,KC,PIT,0.00588235294117645,0.5001744772655515,0.49982552273444847
39,3,LAC,CLE,-10.529411764705884,0.21685587042454818,0.7831441295754518
40,3,LV,CIN,10.73235294117647,0.7875486383979418,0.21245136160205824
41,3,DAL,ATL,1.9117647058823533,0.5565147510858559,0.4434852489141441
42,3,WAS,NO,-6.688235294117646,0.309500543275772,0.690499456724228
43,3,CAR,PHI,16.597058823529412,0.8913952069647739,0.10860479303522608
44,3,TB,NYG,-10.30294117647059,0.22183281642585528,0.7781671835741447
45,3,ARI,GB,5.461764705882354,0.6576577812912561,0.34234221870874393
46,3,LA,CHI,1.8323529411764707,0.5541820169727069,0.44581798302729314
47,3,SEA,DET,9.620588235294118,0.7627836368142475,0.23721636318575245
48,3,SF,MIN,6.620588235294118,0.6887241099524475,0.3112758900475525
49,4,MIA,IND,0.014705882352941124,0.5004361930908752,0.49956380690912483
50,4,NYJ,JAX,0.026470588235293135,0.500785147213158,0.49921485278684197
51,4,BAL,LAC,-0.9411764705882355,0.4721064025954135,0.5278935974045865
52,4,CIN,KC,2.5029411764705882,0.5738138023848409,0.4261861976151591
53,4,CLE,DEN,13.926470588235295,0.8497648375579611,0.15023516244203894
54,4,PIT,LV,-7.241176470588236,0.2951582515443175,0.7048417484556825
55,4,HOU,NE,-3.894117647058824,0.38608964377438076,0.6139103562256192
56,4,TEN,BUF,16.8,0.8941803794996821,0.1058196205003179
57,4,DAL,CAR,-2.4676470588235295,0.42721534072907524,0.5727846592709247
58,4,WAS,TB,2.7794117647058822,0.5818575033000591,0.41814249669994086
59,4,CHI,SF,2.2970588235294116,0.5678036047395144,0.4321963952604856
60,4,DET,ARI,-6.38529411764706,0.3174850621589884,0.6825149378410116
61,4,GB,SEA,-2.697058823529412,0.4205350744730473,0.5794649255269527
62,4,MIN,LA,-4.75,0.3619843025190945,0.6380156974809055
63,4,ATL,PHI,12.21764705882353,0.8181600002208581,0.1818399997791419
64,4,NO,NYG,-0.8352941176470594,0.4752401444214341,0.524759855578566
65,5,MIA,LA,-0.6000000000000001,0.48220921921694293,0.5177907807830571
66,5,NE,ARI,7.397058823529411,0.7088290641317789,0.29117093586822107
67,5,BAL,DAL,-9.714705882352941,0.23506026196851248,0.7649397380314875
68,5,CLE,PHI,15.88529411764706,0.8812111037463664,0.11878889625363365
69,5,IND,MIN,7.135294117647058,0.7021191264955562,0.2978808735044438
70,5,TEN,CHI,8.00294117647059,0.7240830150679508,0.2759169849320492
71,5,LAC,CAR,-11.241176470588236,0.20164068972036325,0.7983593102796367
72,5,LV,NO,3.985294117647059,0.6165011852119255,0.38349881478807446
73,5,NYG,PIT,10.091176470588236,0.7734549531563637,0.2265450468436363
74,5,WAS,CIN,0.0588235294117645,0.5017447671489708,0.49825523285102924
75,5,DET,HOU,-6.8882352941176475,0.30427775686569986,0.6957222431343002
76,5,GB,JAX,-7.961764705882354,0.27694110909513886,0.7230588909048612
77,5,ATL,DEN,10.258823529411764,0.7771901113715325,0.2228098886284675
78,5,TB,KC,-0.21764705882352953,0.4935446226989346,0.5064553773010654
79,5,SEA,NYJ,-2.291176470588235,0.43236835287703007,0.5676316471229699
80,5,SF,BUF,9.5,0.760005328260339,0.23999467173966105
81,6,BUF,LA,-7.629411764705882,0.2852747149217878,0.7147252850782122
82,6,NYJ,ARI,5.526470588235293,0.659423404718516,0.340576595281484
83,6,CIN,NYG,-7.58235294117647,0.2864642816747469,0.7135357183252531
84,6,PIT,WAS,3.432352941176471,0.6007131849332108,0.3992868150667892
85,6,HOU,GB,5.964705882352941,0.6712880173661026,0.32871198263389745
86,6,JAX,DET,14.88529411764706,0.8657910521206846,0.13420894787931537
87,6,LAC,ATL,-6.8617647058823525,0.3049667514169918,0.6950332485830082
88,6,LV,TB,13.452941176470588,0.8413976531903592,0.1586023468096408
89,6,DAL,CLE,-1.7558823529411773,0.44806609461963365,0.5519339053803664
90,6,PHI,BAL,1.5852941176470585,0.5469129777359787,0.4530870222640213
91,6,CHI,IND,1.7823529411764705,0.5527122903851716,0.44728770961482844
92,6,MIN,TEN,-10.920588235294119,0.20841313199704964,0.7915868680029503
93,6,CAR,DEN,14.638235294117647,0.8617785028329098,0.1382214971670902
94,6,NO,KC,9.25,0.7541893253580664,0.24581067464193362
95,6,SEA,NE,-4.161764705882353,0.3784991714658743,0.6215008285341257
96,6,SF,MIA,2.4705882352941178,0.5728704402202677,0.4271295597797323
97,7,BUF,SEA,-4.235294117647059,0.37642192061225405,0.6235780793877459
98,7,NYJ,SF,3.0264705882352936,0.5890167422160455,0.4109832577839545
99,7,BAL,NYG,-12.33235294117647,0.17959658800645517,0.8204034119935448
